normalized_degree,clustering_coefficient,posts_per_day,likes_per_post,follower_ratio,age,years_riding,miles_ridden,bikes_owned,avg_displacement,avg_msrp,label
0.23232323232323232,0.09881422924901186,1.0106293780331055,1157.2123754487707,4.533475606490292,28.91286265865134,2,1449.3095110734039,3,592.0452659828718,16392.05372238045,1
0.15151515151515152,0.09523809523809523,0.9161494727637236,856.2504332484552,4.996061276897204,20.835854111858573,4,2657.302389081022,7,491.6200728004894,28191.24295707325,1
0.10101010101010101,0.17777777777777778,0.05710728060257724,203.1806554455361,1.0530641339975604,39.66145490006622,4,11055.463117661395,1,480.9154931137569,26045.269519530808,0
0.1111111111111111,0.03636363636363636,-0.16212637955235043,1127.4444395825378,4.632724119902632,21.524059269401953,2,1264.6682189216704,3,651.2614197387401,28581.735531458933,1
0.3333333333333333,0.08522727272727272,0.929264468606556,892.8276618964421,3.7361927905071175,26.370738703878903,0,2181.4457630556503,3,978.5740111620526,4126.803787050529,1
0.1111111111111111,0.2,0.055722621188606186,178.55408790891494,0.5999994996669551,31.190088794987936,5,8665.669432421377,3,399.14276820663247,5676.902785544353,0
0.1111111111111111,0.14545454545454545,0.1319083195868025,231.15757505590653,1.2281098936889703,13.100953153866662,6,2909.200257663101,4,518.6539541460468,16225.645269251178,0
0.0707070707070707,0.19047619047619047,0.0722132000857357,156.3599748296468,0.9417803226074353,40.496313213778876,5,2575.5683317615267,2,627.9840881195254,10433.843208390026,0
0.1111111111111111,0.16363636363636364,0.07964431657433246,163.19746704836538,1.2659708160967234,25.71601485062468,9,1686.7532741547243,3,539.9440490594855,20863.84615941973,0
0.1414141414141414,0.13186813186813187,0.7311627713356537,795.3675274750993,3.764315889429306,16.53420587962089,0,2017.7594472342141,4,1137.414099142131,12945.6857009229,1
0.04040404040404041,0.5,0.06008547629543686,141.35080579981306,0.7426365671106273,37.38351356759079,8,3446.236264282594,3,759.207335138639,13971.147503456064,0
