src,dst
0,1
0,2
0,3
0,4
0,5
0,7
0,8
0,9
0,21
0,22
0,25
0,26
0,31
0,53
0,70
0,71
1,6
1,8
1,9
1,10
1,32
1,59
1,64
2,4
2,34
2,35
2,37
2,52
3,4
3,5
3,7
3,11
3,12
3,17
3,18
3,26
3,28
3,41
3,48
3,50
3,56
3,69
4,5
4,6
4,10
4,16
4,18
4,21
4,27
4,28
4,30
4,35
4,42
4,50
4,65
4,68
4,73
4,79
4,89
4,92
4,99
5,6
5,13
5,14
5,17
5,19
5,23
5,30
5,34
5,43
5,52
5,57
5,61
5,64
5,74
5,75
6,7
6,8
6,9
6,10
6,11
6,12
6,14
6,15
6,16
6,18
6,24
6,29
6,32
6,40
6,48
6,58
6,61
6,62
6,65
6,67
6,73
6,75
6,77
6,79
6,81
6,92
6,94
6,96
6,98
7,11
7,12
7,13
7,15
7,17
7,19
7,24
7,25
7,29
7,49
7,59
7,61
7,67
7,76
7,84
7,86
7,96
8,15
8,30
8,80
8,85
9,47
9,62
9,82
10,16
10,29
10,31
10,32
10,45
10,47
10,48
10,56
10,57
10,58
10,84
11,14
12,13
12,20
12,23
12,39
13,34
13,43
14,20
14,36
14,37
14,83
14,86
14,97
15,19
15,27
15,31
15,33
15,38
15,99
16,22
16,24
16,27
16,33
16,40
16,45
16,62
17,22
17,56
17,78
17,86
17,88
18,20
18,36
18,54
18,72
18,82
18,95
19,21
19,23
19,35
19,37
19,47
19,51
19,73
19,74
19,85
22,75
22,94
23,26
23,38
23,44
23,50
23,66
24,25
24,36
24,41
24,51
24,58
24,88
24,89
24,93
25,28
25,51
25,53
26,33
26,46
27,40
27,46
27,65
27,66
27,70
27,72
27,97
28,42
29,44
29,69
29,94
30,71
30,95
32,39
32,43
32,46
32,60
33,41
33,44
33,49
33,69
33,87
33,90
35,38
35,72
35,91
35,98
36,54
36,60
36,68
36,76
36,81
37,39
37,42
37,76
37,85
38,77
39,57
39,66
39,78
39,90
40,55
42,45
42,55
42,71
43,49
44,97
45,52
45,53
45,54
46,59
46,83
47,77
48,55
50,60
50,63
51,68
53,74
53,84
53,88
53,91
53,92
54,83
54,87
56,63
56,79
58,70
58,87
58,99
61,63
61,64
61,89
63,67
63,80
63,98
64,80
64,96
65,82
68,81
68,91
68,93
72,95
75,78
84,90
91,93
