src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,8
0,11
0,12
0,15
0,16
0,18
0,20
0,28
0,33
0,36
0,39
0,41
0,48
0,51
0,56
0,67
0,81
0,83
1,4
1,34
2,4
2,6
2,7
2,8
2,10
2,12
2,14
2,15
2,21
2,22
2,25
2,37
2,45
2,50
2,51
2,52
2,57
2,60
2,70
2,77
2,84
2,86
2,95
3,5
3,22
3,43
3,70
4,5
4,6
4,7
4,12
4,13
4,25
4,27
4,30
4,37
4,38
4,40
4,42
4,45
4,50
4,55
4,58
4,60
4,61
4,74
4,87
4,88
4,91
4,93
4,96
5,11
5,17
5,22
5,24
5,46
5,68
5,71
5,81
5,82
5,83
5,90
6,7
6,9
6,10
6,13
6,16
6,17
6,28
6,48
6,72
6,93
7,8
7,9
7,18
7,19
7,21
7,23
7,24
7,29
7,30
7,42
7,43
7,44
7,47
7,50
7,61
7,64
7,70
7,82
7,85
7,90
8,9
8,11
8,13
8,14
8,16
8,25
8,26
8,30
8,34
8,44
8,45
8,46
8,53
8,56
8,63
8,75
8,76
8,78
8,87
8,94
8,99
9,10
9,14
9,17
9,20
9,54
9,58
9,64
9,65
9,79
9,80
9,94
9,97
10,19
10,44
10,54
10,55
10,73
10,81
10,95
11,29
11,31
11,34
11,40
11,41
11,63
11,65
11,66
11,87
12,15
12,31
12,35
12,73
12,96
12,97
12,99
13,27
13,32
13,36
13,43
13,57
13,89
14,20
14,26
14,52
14,57
14,75
14,77
15,18
15,23
15,28
15,31
15,32
15,33
15,35
15,38
15,59
15,71
15,83
15,95
16,21
16,39
16,53
16,76
17,19
17,38
17,49
17,56
17,60
17,62
17,68
17,79
17,89
18,78
18,91
19,24
19,27
19,29
19,49
20,26
21,42
21,63
21,71
22,23
22,49
23,37
23,39
23,40
23,58
23,94
24,35
25,69
26,55
27,36
28,33
29,32
29,64
29,66
29,80
31,76
32,47
32,69
32,89
33,47
35,86
36,46
36,53
37,51
40,41
40,62
40,88
41,62
42,48
42,52
42,61
43,59
43,66
43,68
43,73
44,98
46,93
47,69
47,78
50,54
50,65
50,80
50,88
52,74
52,82
54,67
54,92
55,72
57,59
57,75
58,67
59,97
61,72
62,77
62,91
63,96
65,79
67,92
68,85
71,84
73,74
75,92
76,86
78,90
79,98
80,84
84,85
84,98
96,99
