src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,9
0,13
0,17
0,26
0,34
0,35
0,42
0,51
0,55
0,59
0,68
0,71
0,73
0,76
0,87
0,91
0,93
0,96
0,99
1,5
1,11
1,13
2,4
2,6
2,7
2,14
2,15
2,16
2,17
2,21
2,25
2,33
2,37
2,43
2,50
2,55
2,59
2,65
2,66
2,67
2,69
2,73
2,80
2,83
2,85
2,86
2,91
3,4
3,5
3,7
3,9
3,10
3,11
3,12
3,16
3,19
3,22
3,43
3,46
3,47
3,53
3,69
3,80
3,95
4,7
4,8
4,10
4,11
4,12
4,21
4,23
4,24
4,25
4,30
4,36
4,38
4,46
4,47
4,54
4,63
4,68
4,74
4,90
4,99
5,6
5,8
5,13
5,24
5,28
5,33
5,41
5,42
5,47
5,48
5,57
5,60
5,79
5,81
5,84
5,91
5,94
6,9
6,14
6,15
6,26
6,27
6,41
6,45
6,57
6,81
6,88
7,8
7,18
7,25
7,30
7,39
7,48
7,53
7,56
7,61
7,85
7,89
7,93
8,10
8,18
8,20
8,27
8,33
8,35
8,44
8,52
8,54
8,64
9,19
9,26
9,29
9,31
9,34
9,42
9,48
9,59
9,64
9,79
9,96
9,97
10,12
10,19
10,20
10,22
10,28
10,39
10,50
10,51
10,52
10,70
10,71
10,82
10,84
10,93
11,14
12,62
12,71
13,15
13,16
13,17
13,18
13,20
13,30
13,31
13,32
13,37
13,49
13,53
13,61
13,75
13,86
13,90
14,22
14,70
14,75
14,89
15,36
15,58
16,24
16,35
16,38
16,49
16,74
16,94
17,21
17,23
17,36
17,40
17,41
17,62
18,49
18,58
18,63
19,29
19,43
19,55
19,66
19,73
20,23
20,28
20,29
20,40
20,72
20,79
20,98
21,31
21,34
21,39
21,58
21,65
21,96
21,98
23,32
23,61
24,45
24,68
25,44
25,69
26,27
26,32
26,46
26,56
26,86
27,52
28,45
28,67
28,78
29,44
29,57
29,66
30,40
32,38
32,87
33,54
33,63
33,72
34,82
36,37
36,51
36,70
37,78
37,88
37,92
38,62
38,80
39,60
41,67
43,99
44,56
45,85
45,92
45,98
46,50
46,60
46,89
46,97
49,65
50,76
50,77
53,64
54,84
55,72
55,78
55,81
57,74
57,94
58,75
58,95
60,95
62,90
62,97
65,83
65,87
67,76
68,77
69,88
75,77
76,82
77,83
83,92
