src,dst
0,1
0,2
0,3
0,4
0,7
0,10
0,11
0,15
0,16
0,20
0,24
0,25
0,26
0,40
0,42
0,44
0,53
0,58
0,59
0,60
0,69
0,77
0,82
0,85
0,90
0,98
1,4
1,5
1,6
1,27
1,35
2,10
2,45
2,51
3,4
3,5
3,8
3,12
3,14
3,17
3,20
3,21
3,23
3,27
3,31
3,33
3,36
3,41
3,43
3,44
3,63
3,66
3,71
3,89
3,99
4,5
4,6
4,7
4,9
4,22
4,25
4,27
4,29
4,30
4,32
4,34
4,39
4,40
4,48
4,51
4,55
4,59
4,63
4,70
4,75
4,80
4,87
4,90
5,6
5,8
5,9
5,11
5,13
5,14
5,25
5,30
5,39
5,60
5,69
5,78
6,7
6,8
6,9
6,20
6,29
6,32
6,36
6,41
6,43
6,47
6,55
6,73
7,10
7,11
7,12
7,14
7,18
7,37
7,38
7,47
7,63
7,66
7,76
7,78
8,15
8,16
8,55
8,67
8,78
9,15
9,26
9,38
9,45
9,58
9,62
9,79
10,12
10,13
10,28
10,31
10,32
10,39
10,52
10,53
10,72
10,74
10,86
10,87
10,93
11,13
11,19
11,28
11,35
11,81
12,16
12,17
12,19
12,21
12,35
12,49
12,62
12,89
12,99
13,17
13,43
13,66
13,84
13,86
13,94
14,47
14,49
14,85
15,24
15,54
15,61
15,67
16,18
16,48
16,50
16,56
16,95
17,18
17,21
17,23
17,31
17,59
17,73
17,74
18,19
18,22
18,24
18,46
18,56
18,82
18,87
18,95
18,96
19,26
19,29
19,37
19,69
19,71
19,75
19,76
19,81
19,88
20,22
20,23
20,28
20,30
20,44
20,68
20,84
21,38
21,46
22,49
22,74
23,33
23,34
23,37
23,41
23,52
23,90
24,46
24,50
24,56
26,33
26,40
26,42
27,42
27,50
27,91
27,99
28,36
30,61
30,73
31,34
31,45
31,52
31,64
31,97
32,71
33,60
33,65
33,91
33,92
33,96
34,92
35,57
35,79
35,80
36,48
37,54
37,65
38,93
40,64
40,72
41,53
42,51
42,57
42,65
45,57
46,70
46,79
47,64
47,82
48,88
48,97
49,54
49,58
49,70
49,83
51,67
54,76
54,80
54,88
54,94
57,83
57,98
58,68
60,61
60,72
61,62
61,84
61,85
62,89
62,98
63,77
63,93
64,75
64,77
64,83
64,86
64,95
66,68
68,94
68,97
69,81
83,91
85,92
88,96
