src,dst
0,1
0,2
0,3
0,4
0,6
0,7
0,13
0,14
0,16
0,26
0,27
0,29
0,33
0,40
0,41
0,45
0,52
0,55
0,78
0,79
0,82
0,95
1,8
1,9
1,10
1,15
1,17
1,18
1,21
1,44
1,46
1,47
1,59
1,60
1,78
1,88
1,93
1,97
2,4
2,5
2,6
2,7
2,9
2,11
2,15
2,16
2,18
2,20
2,27
2,37
2,39
2,42
2,45
2,46
2,52
2,54
2,61
2,66
2,89
3,4
3,5
3,7
3,8
3,10
3,11
3,12
3,48
3,51
3,74
3,76
3,79
4,5
4,9
4,11
4,14
4,19
4,22
4,23
4,24
4,29
4,33
4,38
4,54
4,69
4,91
4,99
5,6
5,8
5,13
5,19
5,25
5,40
5,51
5,76
5,86
5,99
6,12
6,20
6,41
6,44
6,49
6,51
6,55
6,68
6,71
6,72
6,95
7,14
7,15
7,31
7,34
7,38
7,67
7,68
7,72
7,73
7,91
7,93
7,96
8,10
8,17
8,34
9,13
9,20
9,35
9,48
10,18
10,24
10,29
10,77
10,80
10,97
11,12
11,16
11,24
11,26
11,31
11,32
11,54
11,58
11,69
11,71
11,76
12,23
12,26
12,28
12,53
12,59
12,70
12,75
12,79
12,88
12,98
13,17
13,32
13,37
13,47
13,49
13,82
13,83
13,89
13,92
14,32
14,42
14,58
14,62
14,63
15,19
15,22
15,39
15,45
15,56
15,61
16,28
16,36
16,37
16,73
16,85
17,21
17,22
17,25
17,28
17,35
17,53
17,56
17,84
17,92
18,64
19,27
19,30
19,39
19,64
19,74
19,98
20,21
20,23
20,30
20,36
20,50
20,57
20,90
21,33
21,57
21,61
22,25
22,31
22,38
22,48
22,62
22,65
22,66
22,72
22,97
23,34
23,43
23,57
23,70
23,96
24,35
25,30
25,67
25,90
26,42
26,43
27,58
27,75
27,77
28,60
29,43
29,46
29,47
30,36
31,40
31,73
31,93
31,94
32,68
33,44
33,53
33,62
33,81
34,88
36,64
36,69
38,66
38,91
40,41
40,50
40,65
40,85
40,87
40,99
41,60
41,71
42,95
43,77
43,86
46,49
46,52
46,56
46,75
46,83
47,81
48,50
48,55
49,84
49,94
52,59
52,65
53,80
53,90
57,82
58,63
60,70
60,81
62,63
64,67
64,74
64,89
71,80
73,78
74,85
75,83
78,87
79,84
84,86
84,92
84,96
86,87
87,98
89,94
