src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,14
0,15
0,21
0,22
0,23
0,25
0,29
0,32
0,33
0,36
0,39
0,42
0,44
0,45
0,52
0,54
0,67
0,72
0,73
0,84
0,86
0,94
1,4
1,9
1,11
1,12
1,13
1,14
1,16
1,26
1,28
1,33
1,35
1,38
1,39
1,52
1,56
1,58
1,74
1,82
1,97
2,6
2,17
2,20
2,45
2,52
3,4
3,5
3,54
3,56
3,70
4,5
4,7
4,8
4,10
4,14
4,16
4,21
4,24
4,28
4,29
4,37
4,49
4,55
4,56
4,64
4,75
4,82
4,83
4,85
4,92
5,6
5,7
5,8
5,13
5,15
5,21
5,60
5,61
5,62
5,63
5,65
5,70
5,92
6,10
6,15
6,17
6,27
6,65
6,71
6,84
6,87
6,94
7,9
7,11
7,16
7,18
7,20
7,24
7,29
7,30
7,34
7,37
7,43
7,47
7,48
7,79
7,85
8,12
8,19
8,26
8,27
8,42
8,53
9,19
9,31
9,35
9,36
9,38
9,43
9,57
9,68
9,71
9,98
10,18
10,50
10,73
11,20
11,30
11,31
11,35
11,63
11,99
12,13
12,23
12,34
12,41
12,42
12,83
13,46
13,53
13,74
14,17
14,18
14,22
14,24
14,39
14,46
14,47
14,51
14,54
14,57
14,68
14,84
14,92
15,40
16,76
16,81
16,83
17,23
17,32
17,33
17,36
17,50
17,67
17,95
18,19
18,22
18,58
18,60
18,97
19,32
19,88
20,25
21,26
21,41
21,71
21,77
21,93
21,94
22,79
22,89
22,93
22,96
23,27
23,30
23,40
23,41
23,58
23,64
23,72
23,80
24,25
24,37
24,89
24,90
25,34
25,66
26,28
26,49
26,64
26,69
26,77
27,38
27,44
27,91
28,49
28,50
28,76
28,88
28,91
29,47
29,59
29,73
29,86
29,97
30,31
30,48
30,80
31,44
31,59
31,66
31,99
32,96
33,40
33,43
33,48
33,51
36,98
37,99
38,69
39,76
40,59
40,81
41,62
41,63
41,89
41,96
42,57
43,55
44,45
44,46
44,78
44,81
44,90
45,95
46,77
47,51
48,55
48,66
48,95
49,74
50,62
50,72
52,53
52,60
52,79
54,93
55,61
55,69
56,67
56,88
56,90
57,78
58,65
59,61
61,82
62,68
63,86
64,75
66,70
66,87
67,75
67,78
70,80
72,85
78,87
82,98
85,91
