src,dst
0,1
0,2
0,3
0,4
0,7
0,8
0,9
0,11
0,12
0,14
0,16
0,20
0,24
0,31
0,43
0,45
0,50
0,52
0,54
0,65
0,75
0,76
0,80
0,91
0,95
1,4
1,5
1,6
1,10
1,13
1,15
1,16
1,32
1,34
1,38
1,41
1,53
1,60
1,74
2,5
2,6
2,7
2,10
2,11
2,15
2,37
2,61
2,69
2,72
2,82
2,86
2,97
3,4
3,8
3,12
3,67
3,96
4,5
4,6
4,9
4,20
4,23
4,26
4,36
4,37
4,41
4,66
4,69
4,70
4,71
4,81
4,84
4,97
5,7
5,12
5,20
5,23
5,25
5,35
5,44
5,49
5,51
5,62
5,65
5,66
5,74
5,86
6,8
6,11
6,14
6,17
6,21
6,24
6,58
6,64
7,9
7,10
7,13
7,16
7,18
7,19
7,22
7,26
7,27
7,30
7,37
7,53
7,58
7,73
7,83
7,87
7,89
7,97
7,98
8,13
8,15
8,31
8,44
8,78
8,88
9,18
9,21
9,22
9,26
9,29
9,42
9,64
9,76
9,84
10,55
10,59
10,68
10,86
10,88
11,18
11,39
11,54
11,75
11,82
12,14
12,17
12,19
12,21
12,27
12,38
12,39
12,42
12,51
12,63
12,99
13,19
13,25
13,29
13,34
13,83
13,91
14,46
14,47
14,70
15,17
15,36
16,22
16,24
16,27
16,49
16,63
16,66
16,75
17,57
18,33
18,38
18,55
18,77
18,79
19,23
19,28
19,42
19,43
20,29
20,41
20,43
20,44
21,25
21,31
21,33
21,40
21,46
21,49
21,71
22,52
22,53
23,28
23,32
23,40
23,56
23,60
23,67
23,73
23,80
24,35
25,30
25,33
25,62
26,28
26,30
27,34
27,46
27,56
27,59
27,61
27,63
27,65
27,85
27,89
27,90
27,99
28,52
28,57
28,69
28,77
28,93
29,32
30,40
30,47
30,68
30,76
30,98
30,99
31,36
31,51
31,64
31,91
31,92
33,35
33,62
34,39
34,45
34,56
34,78
34,84
34,92
35,48
36,54
36,81
37,57
37,58
37,74
38,72
39,88
40,47
40,50
40,59
40,77
40,85
40,90
41,61
41,92
42,79
43,45
43,67
43,72
43,80
44,48
45,73
45,87
47,48
47,87
47,93
49,50
49,60
49,89
49,94
51,96
53,55
53,70
53,81
54,83
55,71
56,78
56,82
59,85
61,68
63,98
70,95
72,94
73,79
76,95
79,96
81,93
82,94
85,90
