src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,10
0,12
0,24
0,29
0,30
0,32
0,35
0,36
0,57
0,68
0,69
0,70
0,72
0,86
1,4
1,11
1,16
1,37
1,38
1,40
1,41
1,53
1,70
1,75
2,4
2,5
2,9
2,12
2,14
2,38
2,46
2,66
2,76
2,85
2,87
2,99
3,10
3,19
3,62
4,5
4,6
4,8
4,9
4,15
4,17
4,18
4,21
4,23
4,37
4,44
4,55
4,63
4,64
4,65
4,73
4,78
4,94
4,98
5,6
5,7
5,8
5,11
5,17
5,22
5,27
5,32
5,35
5,37
5,43
5,51
5,55
5,57
5,58
5,60
5,73
5,87
6,7
6,8
6,16
6,18
6,19
6,24
6,45
6,52
6,67
6,96
6,98
7,11
8,9
8,12
8,13
8,14
8,17
8,29
8,30
8,36
8,55
8,58
8,77
8,82
8,88
9,10
9,13
9,14
9,18
9,19
9,20
9,26
9,27
9,28
9,33
9,40
9,41
9,50
9,61
9,71
9,99
10,15
10,16
10,20
10,21
10,22
10,24
10,25
10,27
10,28
10,29
10,35
10,39
10,40
10,45
10,47
10,58
10,60
10,63
10,65
10,69
10,73
10,74
10,75
10,79
10,80
10,93
10,95
11,13
11,22
11,33
11,95
12,20
12,44
12,48
12,67
12,77
12,86
12,89
13,26
13,31
13,43
13,56
13,65
13,68
14,15
14,41
14,46
14,48
14,83
14,84
14,88
14,91
15,25
16,32
16,71
16,92
17,23
17,28
17,34
17,52
18,21
18,23
18,26
18,31
18,34
18,49
18,54
18,71
18,88
19,33
19,39
19,85
19,90
20,61
20,78
20,96
21,34
21,51
23,38
23,42
23,47
23,51
23,54
24,25
24,49
24,52
24,74
24,90
25,43
26,45
26,59
26,78
26,80
28,42
28,47
29,30
29,31
29,64
29,93
31,67
31,93
32,53
32,66
33,59
34,44
34,59
34,81
35,36
35,39
35,42
35,48
35,49
35,50
35,60
35,76
37,80
38,53
38,81
39,56
39,83
39,86
40,56
40,68
41,72
41,92
42,74
43,57
43,94
43,99
44,46
44,82
45,91
46,77
46,90
47,72
47,84
47,89
47,97
48,50
48,54
49,75
50,66
50,70
51,69
54,64
56,61
56,79
59,62
60,63
61,62
61,76
61,97
65,79
65,89
66,92
71,83
73,87
73,91
73,95
73,98
75,81
75,85
75,96
78,82
79,94
80,84
82,97
