src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,16
0,19
0,21
0,24
0,25
0,26
0,36
0,38
0,43
0,47
0,52
0,57
0,58
0,61
0,67
0,71
0,87
0,90
0,99
2,4
2,6
2,15
2,19
2,24
2,47
2,53
2,65
2,68
2,74
3,4
3,5
3,6
3,10
3,13
3,14
3,15
3,17
3,18
3,24
3,25
3,27
3,39
3,50
3,51
3,76
3,79
3,81
3,84
3,86
3,96
4,5
4,7
4,9
4,13
4,14
4,22
4,23
4,27
4,28
4,34
4,37
4,38
4,41
4,46
4,51
4,52
4,55
4,56
4,62
4,66
4,67
4,70
4,73
4,74
4,78
4,88
4,92
4,97
5,8
5,9
5,11
5,99
6,7
6,8
6,9
6,10
6,11
6,12
6,15
6,16
6,18
6,19
6,22
6,23
6,29
6,39
6,41
6,46
6,49
6,53
6,59
6,82
7,8
7,10
7,12
7,16
7,23
7,27
7,28
7,29
7,30
7,33
7,40
7,42
7,44
7,48
7,52
7,60
7,70
7,75
7,80
7,86
7,89
7,90
7,93
7,95
8,20
8,31
9,25
9,31
9,36
9,58
9,96
10,11
10,12
10,30
10,54
10,77
11,13
11,17
11,20
11,22
11,29
11,30
11,31
11,32
11,35
11,43
11,64
11,69
12,14
12,18
12,41
12,45
12,55
12,82
12,98
13,20
13,34
13,57
13,68
13,82
13,91
14,17
14,45
14,47
14,56
14,85
15,32
15,35
15,37
15,43
15,58
17,35
17,40
17,61
17,70
17,72
18,21
18,33
18,63
19,21
19,87
19,94
20,26
20,42
20,51
21,32
21,34
21,36
21,38
21,42
21,45
21,83
21,95
22,83
23,65
23,92
24,50
24,84
25,26
25,28
25,46
25,48
26,60
27,37
27,48
27,50
27,74
27,77
27,96
28,80
28,95
29,40
29,75
31,44
31,66
32,33
32,55
33,54
33,65
33,87
33,94
35,53
35,76
35,88
35,91
36,39
36,59
36,72
36,79
37,44
38,49
38,56
38,59
38,71
40,77
41,54
41,68
42,73
42,89
43,57
43,60
43,79
44,61
44,62
46,89
46,90
46,91
47,49
47,64
48,81
49,83
49,85
49,97
49,98
51,63
51,78
51,80
51,81
51,93
52,62
52,71
53,64
53,66
54,63
57,67
57,98
58,93
58,97
60,69
64,69
64,76
64,78
65,72
65,75
68,73
68,86
68,94
76,92
77,84
77,99
80,85
84,88
