src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,10
0,11
0,12
0,14
0,15
0,30
0,47
0,62
0,85
0,93
1,4
1,8
1,11
1,12
1,16
1,17
1,20
1,22
1,25
1,41
1,71
1,74
1,78
1,79
1,80
1,83
1,84
1,98
1,99
2,4
2,5
2,6
2,40
2,49
2,52
2,56
2,66
2,88
3,5
3,6
3,13
3,18
3,27
3,35
3,58
3,66
3,68
3,81
4,9
4,29
4,44
5,7
5,9
5,10
5,13
5,14
5,17
5,21
5,22
5,33
5,44
5,49
5,50
5,51
5,55
5,61
5,66
5,84
5,98
6,7
6,8
6,9
6,15
6,23
6,30
6,36
6,56
6,62
6,65
6,71
6,78
6,82
6,91
7,26
7,31
7,51
7,59
7,65
7,89
7,90
8,12
8,19
8,21
8,64
8,86
9,10
9,18
9,33
9,40
9,54
9,55
10,11
10,13
10,14
10,15
10,16
10,18
10,19
10,24
10,25
10,26
10,27
10,29
10,31
10,33
10,37
10,38
10,39
10,52
10,57
10,67
10,79
10,92
10,95
11,20
11,25
11,28
11,32
11,48
11,69
11,74
11,92
12,20
12,23
12,40
12,46
12,53
12,60
12,68
12,99
13,42
13,80
13,94
14,38
14,77
15,16
15,17
15,37
16,21
16,73
16,85
16,91
17,19
17,23
17,26
17,42
17,61
17,76
18,22
18,24
18,27
18,28
18,30
18,32
18,36
18,38
18,39
18,43
18,45
18,53
18,54
18,58
18,63
18,64
18,67
18,70
18,72
18,73
18,97
19,70
19,71
19,79
19,98
20,24
20,31
20,82
22,34
22,81
23,45
23,47
23,48
23,84
24,29
24,32
24,52
24,57
24,80
24,94
25,28
25,35
25,54
26,95
27,46
27,56
27,76
28,37
28,42
28,97
29,35
29,41
29,46
29,88
29,93
30,36
30,45
30,65
30,69
30,72
30,78
31,34
31,48
31,49
32,39
32,41
32,50
32,60
32,63
32,74
33,34
34,75
35,55
35,62
35,81
38,63
39,70
39,86
40,43
40,57
40,95
42,43
42,44
42,51
42,61
42,75
44,73
44,91
44,96
45,47
45,58
45,59
45,77
45,88
46,83
46,86
47,85
48,50
49,68
49,75
50,53
50,60
50,93
51,59
51,87
52,92
54,69
55,64
57,67
60,87
62,82
62,97
64,76
64,90
65,72
65,77
65,83
65,87
66,89
69,96
70,90
73,96
76,94
80,89
98,99
