src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,10
0,14
0,17
0,21
0,24
0,25
0,28
0,34
0,35
0,41
0,44
0,45
0,51
0,62
0,64
0,69
0,81
0,86
0,92
1,4
1,7
1,8
1,9
1,11
1,15
1,46
1,91
2,4
2,5
2,7
2,12
2,16
2,20
2,23
2,24
2,25
2,26
2,29
2,32
2,34
2,43
2,49
2,50
2,51
2,52
2,53
2,55
2,57
2,62
2,70
2,73
2,76
2,80
2,83
2,85
3,5
3,9
3,10
3,37
3,78
4,6
4,7
4,8
4,9
4,13
4,19
4,21
4,28
4,31
4,32
4,33
4,39
4,41
4,42
4,45
4,48
4,49
4,60
4,87
4,88
4,95
5,6
5,11
5,12
5,16
5,18
5,31
5,44
5,57
5,60
5,61
5,67
5,81
5,84
6,14
6,15
6,16
6,20
6,48
6,70
7,8
7,10
7,12
7,14
7,24
7,26
7,27
7,33
7,37
7,43
7,47
7,56
7,59
7,63
7,65
7,68
7,71
7,75
7,91
7,97
7,98
8,13
8,19
8,23
8,39
8,41
8,42
8,54
9,11
9,13
9,18
9,22
9,33
9,36
9,38
9,53
9,65
9,66
9,68
9,69
9,78
9,96
10,15
10,23
11,26
11,85
11,89
11,92
12,17
12,27
12,58
12,82
12,87
12,96
13,22
13,30
13,37
13,57
13,65
13,76
13,96
14,17
14,18
14,21
14,30
14,32
14,35
14,45
14,49
14,64
14,80
14,97
15,20
15,50
16,19
16,28
16,36
16,83
16,86
17,46
17,83
17,90
17,93
18,47
19,25
19,30
19,47
20,22
20,68
21,34
21,36
22,58
23,42
23,82
24,27
24,29
24,38
24,40
24,70
25,40
25,46
25,64
26,38
26,48
26,52
26,58
26,69
27,29
27,35
27,54
27,74
27,79
27,99
29,31
29,67
29,89
31,62
33,92
34,44
34,51
35,71
36,56
36,63
36,90
36,93
37,43
37,59
37,61
37,66
37,72
37,79
38,39
38,56
38,66
38,73
38,94
39,40
39,88
40,55
40,81
40,82
41,77
42,54
45,55
46,50
46,63
46,71
49,52
49,91
50,59
50,95
51,76
52,53
52,74
52,77
52,79
53,87
55,72
56,67
56,74
56,78
56,88
56,98
57,86
57,99
58,60
58,98
59,61
59,72
60,93
63,73
67,75
67,77
72,75
74,94
75,95
77,89
78,85
79,80
80,84
81,97
82,84
83,94
83,99
85,90
